Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.h2.index.PageDataLeaf: org.h2.result.Row readRow(org.h2.store.Data,int,int)>",2,11972,0,185,0.9998329,0,3008,1.0,58031
"<org.h2.index.ViewIndex: double getCost(org.h2.engine.Session,int[],org.h2.table.TableFilter,org.h2.result.SortOrder)>",24,90359,0,1057,0.9997344,6,15450,0.9996118,375504
"<org.h2.jdbc.JdbcConnection: boolean getAutoCommit()>",4,18564,0,295,0.9997845,0,4719,1.0,89718
"<org.h2.jdbc.JdbcConnection: boolean isValid(int)>",4,27715,0,353,0.9998557,0,6386,1.0,128520
"<org.h2.jdbc.JdbcConnection: void close()>",7,19,0,0,0.6315789,0,0,0.0,46
"<org.h2.jdbc.JdbcConnection: void commit()>",7,18570,0,295,0.99962306,0,4719,1.0,89739
"<org.h2.jdbc.JdbcConnection: void rollback()>",6,18571,0,295,0.99967694,0,4719,1.0,89746
"<org.h2.jdbc.JdbcConnection: void setAutoCommit(boolean)>",12,28115,1,449,0.9995732,1,7171,0.9998606,135942
"<org.h2.jdbc.JdbcPreparedStatement: int executeUpdateInternal()>",3,9,0,0,0.6666667,0,0,0.0,32
"<org.h2.jdbc.JdbcStatement: void close()>",1,9290,0,147,0.99989235,0,2354,1.0,44904
"<org.h2.jdbcx.JdbcConnectionPool: int getActiveConnections()>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.jdbcx.JdbcConnectionPool: int getLoginTimeout()>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.jdbcx.JdbcConnectionPool: int getMaxConnections()>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.jdbcx.JdbcConnectionPool: java.sql.Connection getConnection()>",2,94,0,2,0.9787234,0,37,1.0,472
"<org.h2.jdbcx.JdbcConnectionPool: void dispose()>",3,270,0,10,0.98888886,0,97,1.0,1282
"<org.h2.jdbcx.JdbcConnectionPool: void recycleConnection(javax.sql.PooledConnection)>",4,214,0,10,0.9813084,1,71,0.9861111,1016
"<org.h2.jdbcx.JdbcConnectionPool: void setLoginTimeout(int)>",0,0,0,0,0.0,0,0,0.0,0
"<org.h2.jdbcx.JdbcConnectionPool: void setMaxConnections(int)>",6,218,0,7,0.9724771,2,94,0.9791667,1148
"<org.h2.jdbcx.JdbcDataSourceFactory: java.lang.Object getObjectInstance(java.lang.Object,javax.naming.Name,javax.naming.Context,java.util.Hashtable)>",22,19879,0,326,0.9988933,1,5196,0.9998076,95876
"<org.h2.jdbcx.JdbcXAConnection$PooledJdbcConnection: boolean isClosed()>",1,9286,0,147,0.9998923,0,2354,1.0,44834
"<org.h2.jdbcx.JdbcXAConnection$PooledJdbcConnection: void checkClosed(boolean)>",2,18402,0,292,0.99989134,0,4672,1.0,88991
"<org.h2.jdbcx.JdbcXAConnection$PooledJdbcConnection: void close()>",3,18827,2,297,0.9998407,0,4770,1.0,90705
"<org.h2.message.TraceSystem: java.lang.String format(java.lang.String,java.lang.String)>",9,8829,0,129,0.99898064,3,2314,0.9987052,42220
"<org.h2.message.TraceSystem: org.h2.message.Trace getTrace(java.lang.String)>",6,519,0,10,0.9884393,2,135,0.98540145,4400
"<org.h2.message.TraceSystem: void closeWriter()>",3,12,0,1,0.75,0,4,1.0,77
"<org.h2.message.TraceSystem: void writeFile(java.lang.String,java.lang.Throwable)>",19,33865,2,559,0.99943894,1,8260,0.99987894,163365
"<org.h2.mvstore.cache.CacheLongKeyLIRS$Segment: java.lang.Object put(long,int,java.lang.Object,int)>",6,9112,1,144,0.99934155,1,2315,0.9995682,44427
"<org.h2.mvstore.cache.CacheLongKeyLIRS$Segment: java.lang.Object remove(long,int)>",6,8,0,0,0.25,0,0,0.0,106
"<org.h2.mvstore.cache.CacheLongKeyLIRS$Segment: java.util.List keys(boolean,boolean)>",5,54,0,2,0.9074074,1,19,0.95,310
"<org.h2.mvstore.cache.CacheLongKeyLIRS$Segment: java.util.Set keySet()>",5,661,0,10,0.9924357,1,155,0.99358976,5405
"<org.h2.mvstore.cache.CacheLongKeyLIRS$Segment: void access(long,int)>",10,24,0,1,0.5833333,0,5,1.0,261
"<org.h2.mvstore.cache.CacheLongKeyLIRS: java.util.List keys(boolean,boolean)>",3,59,1,2,0.9491525,1,20,0.95238096,338
"<org.h2.mvstore.cache.CacheLongKeyLIRS: java.util.Set entrySet()>",10,974,1,22,0.98973304,1,277,0.99640286,8166
"<org.h2.mvstore.cache.CacheLongKeyLIRS: java.util.Set keySet()>",3,811,1,21,0.9963009,1,257,0.996124,6991
"<org.h2.mvstore.db.MVTable: void lock(org.h2.engine.Session,boolean,boolean)>",2,9410,0,146,0.99978745,0,2375,1.0,45358
"<org.h2.mvstore.db.MVTable: void unlock(org.h2.engine.Session)>",2,3,0,0,0.33333334,0,0,0.0,4
"<org.h2.mvstore.db.TransactionStore$1: void fetchNext()>",14,37246,0,588,0.99962413,2,9487,0.99978924,181291
"<org.h2.mvstore.db.TransactionStore$TransactionMap: org.h2.mvstore.db.TransactionStore$VersionedValue getValue(java.lang.Object,long)>",1,9415,0,149,0.9998938,0,2384,1.0,45952
"<org.h2.mvstore.db.TransactionStore: org.h2.mvstore.db.TransactionStore$Transaction begin()>",6,11453,0,161,0.99947613,2,2807,0.999288,56209
"<org.h2.mvstore.db.TransactionStore: org.h2.mvstore.MVMap openMap(int)>",13,29718,0,445,0.99956256,3,7454,0.99959767,144527
"<org.h2.mvstore.db.TransactionStore: void close()>",6,22634,0,317,0.99973494,1,5522,0.9998189,111040
"<org.h2.mvstore.db.TransactionStore: void commit(org.h2.mvstore.db.TransactionStore$Transaction,long)>",12,73248,1,1069,0.99983615,0,18042,1.0,358166
"<org.h2.mvstore.db.TransactionStore: void endTransaction(org.h2.mvstore.db.TransactionStore$Transaction)>",13,42674,0,609,0.99969536,0,10460,1.0,208633
"<org.h2.mvstore.db.TransactionStore: void init()>",2,18503,0,291,0.99989194,0,4693,1.0,89987
"<org.h2.mvstore.db.TransactionStore: void log(org.h2.mvstore.db.TransactionStore$Transaction,long,int,int,java.lang.Object,java.lang.Object)>",1,11232,0,155,0.99991095,0,2716,1.0,54960
"<org.h2.mvstore.db.TransactionStore: void logUndo(org.h2.mvstore.db.TransactionStore$Transaction,long)>",1,11220,0,155,0.9999109,0,2716,1.0,54935
"<org.h2.mvstore.db.TransactionStore: void rollbackTo(org.h2.mvstore.db.TransactionStore$Transaction,long,long)>",10,75063,1,1075,0.9998668,0,18374,1.0,367167
"<org.h2.mvstore.db.TransactionStore: void storeTransaction(org.h2.mvstore.db.TransactionStore$Transaction)>",8,11251,0,156,0.999289,0,2726,1.0,55052
